,player,pos,team,season,games_played,corsi_for,corsi_ag,corsi_for%,corsi_for%_rel,corsi/60,corsi_rel/60,fen_for,fen_ag,fen_for%,fen_for%_rel,team_onice_sh%,team_onice_sv%,pdo,off_zs%,def_zs%,toi/game,faceoffs_won,faceoffs_lost,faceoff%,hits,blocks,takeaways,giveaways
0,Matt Martin,LW,NYI,2014-15,78,765,715,51.7,-2.0,3.4,-5.3,578,501,53.6,-1.3,6.4,91.5,97.9,46.7,53.3,11.3,5,5,50.0,382,36,24,27
1,Matt Martin,LW,NYI,2011-12,80,751,979,43.4,-7.4,-14.1,-14.9,573,689,45.4,-6.0,3.9,91.1,95.1,41.5,58.5,12.2,10,13,43.5,374,41,36,21
2,Matt Martin,LW,NYI,2015-16,80,716,731,49.5,-1.9,-1.1,-2.6,517,533,49.2,-2.9,10.1,91.4,101.5,41.6,58.4,10.6,1,3,25.0,365,24,8,15
3,Matt Martin,LW,NYI,2013-14,79,739,964,43.4,-10.2,-14.4,-18.3,552,687,44.6,-8.6,6.5,89.9,96.4,43.5,56.5,11.9,3,6,33.3,359,42,22,15
4,Cal Clutterbuck,RW,MIN,2008-09,78,759,959,44.2,-8.0,-11.8,-14.1,582,728,44.4,-8.1,7.4,93.5,100.9,33.1,66.9,13.0,2,15,11.8,356,39,22,16
5,Cal Clutterbuck,RW,NYI,2014-15,76,805,924,46.6,-8.1,-7.4,-18.3,611,653,48.3,-7.5,6.3,90.9,97.2,36.4,63.6,12.7,6,3,66.7,343,31,25,24
6,Cal Clutterbuck,RW,MIN,2010-11,76,1036,1114,48.2,2.5,-3.9,0.4,801,833,49.0,4.1,8.6,91.8,100.4,48.9,51.1,15.8,3,8,27.3,336,32,24,25
7,Cal Clutterbuck,RW,MIN,2009-10,74,821,983,45.5,-7.1,-9.2,-12.0,614,741,45.3,-8.0,7.3,91.0,98.4,45.3,54.7,14.3,3,7,30.0,318,29,14,16
8,Dustin Brown,RW,LAK,2007-08,78,1547,1416,52.2,4.7,5.0,7.7,1207,1114,52.0,5.3,10.6,88.9,99.5,57.9,42.1,20.3,20,20,50.0,311,23,26,62
9,Tuomo Ruutu,C,CAR,2010-11,82,1509,1195,55.8,8.0,13.8,16.5,1070,895,54.5,7.4,11.0,91.3,102.2,61.5,38.5,16.6,256,369,41.0,307,38,42,38
10,Dustin Brown,RW,LAK,2010-11,82,1657,1284,56.3,4.1,14.1,11.8,1231,969,56.0,4.5,9.7,92.3,102.1,62.0,38.0,19.4,18,19,48.6,300,29,35,67
11,Matt Martin,LW,NYI,2010-11,68,535,843,38.8,-12.6,-25.1,-26.9,377,629,37.5,-14.1,7.4,91.8,99.2,44.3,55.7,10.8,10,17,37.0,294,47,25,11
12,Dustin Brown,RW,LAK,2011-12,82,1836,1268,59.1,7.4,20.9,19.0,1343,967,58.1,6.5,9.8,91.9,101.7,59.8,40.2,19.9,17,22,43.6,291,32,38,53
13,Cal Clutterbuck,RW,MIN,2011-12,74,1000,1147,46.6,1.4,-7.3,-2.2,756,838,47.4,2.1,8.2,91.7,100.0,43.3,56.7,16.4,5,10,33.3,288,31,28,21
14,Cal Clutterbuck,RW,NYI,2015-16,77,663,920,41.9,-11.3,-16.8,-20.6,490,659,42.6,-11.1,10.5,92.1,102.6,31.5,68.5,11.9,1,2,33.3,288,34,21,20
15,Dustin Brown,RW,LAK,2008-09,80,1750,1276,57.8,8.1,18.3,18.6,1351,991,57.7,7.8,9.2,89.0,98.2,63.5,36.5,19.4,25,29,46.3,285,22,37,48
16,Ryan Callahan,RW,NYR,2009-10,77,1443,1409,50.6,-0.2,1.4,0.5,1084,1010,51.8,1.1,9.2,89.4,98.6,47.1,52.9,19.4,17,18,48.6,285,81,52,14
17,Leo Komarov,C,TOR,2015-16,67,1331,1017,56.7,4.8,15.8,13.8,1005,762,56.9,6.6,8.0,89.0,97.0,54.4,45.6,17.8,62,65,48.8,283,27,42,16
18,Dustin Brown,RW,LAK,2009-10,82,1505,1255,54.5,4.4,9.6,9.4,1177,982,54.5,3.7,10.0,91.0,101.1,65.8,34.2,19.0,17,22,43.6,283,25,39,63
19,Steve Ott,C,DAL,2011-12,74,1324,1242,51.6,1.7,3.6,3.8,952,928,50.6,-0.6,9.5,91.7,101.1,47.5,52.5,18.3,561,450,55.5,278,27,26,25
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ryan Reaves,RW,STL,2014-15,81,488,588,45.4,-7.7,-8.7,-15.1,375,439,46.1,-8.3,5.9,94.0,100.0,49.7,50.3,8.5,0,0,,276,14,14,6
22,Derek MacKenzie,C,FLA,2014-15,82,711,1041,40.6,-12.8,-19.4,-26.4,528,788,40.1,-13.0,4.1,90.8,94.9,35.1,64.9,12.5,543,479,53.1,273,51,26,12
23,David Backes,C,STL,2013-14,74,1493,1134,56.8,3.6,14.9,11.6,1095,821,57.2,3.8,11.1,90.3,101.4,48.4,51.6,19.5,621,580,51.7,273,56,32,22
24,Chris Neil,RW,OTT,2011-12,72,954,728,56.7,3.7,14.7,10.8,701,562,55.5,4.2,8.7,89.8,98.4,62.5,37.5,12.8,0,2,0.0,271,20,21,20
25,Ryan Callahan,RW,NYR,2011-12,76,1487,1436,50.9,1.3,1.9,2.4,1128,1014,52.7,0.6,9.5,90.0,99.5,54.1,45.9,21.0,10,10,50.0,271,88,51,16
26,Cal Clutterbuck,RW,NYI,2013-14,73,963,1043,48.0,-5.4,-4.6,-8.7,713,743,49.0,-4.1,5.5,90.1,95.6,42.9,57.1,14.3,7,9,43.8,270,14,30,24
